bill_length_mm,bill_depth_mm,flipper_length_mm,body_mass_g,species
0.3090909,0.70238096,0.45762712,0.3611111,0
0.52363634,0.20238096,0.7627119,0.6944444,2
0.21090908,0.6547619,0.3559322,0.0625,0
0.3272727,0.52380955,0.30508474,0.33333334,0
0.71272725,0.85714287,0.37288135,0.2986111,1
0.6,0.3452381,0.9830508,0.8611111,2
0.6036364,0.30952382,0.6101695,0.7361111,2
0.20727272,0.8214286,0.30508474,0.43055555,0
0.23636363,0.96428573,0.3220339,0.30555555,0
0.6690909,0.33333334,0.84745765,0.7916667,2
0.27636364,0.6904762,0.20338982,0.2361111,0
0.3272727,0.6547619,0.2881356,0.1736111,0
0.6727273,0.75,0.3559322,0.30555555,1
1.0,0.4642857,0.9830508,0.9305556,2
0.3490909,0.1904762,0.6440678,0.5555556,2
0.86545455,0.4642857,0.9491525,0.8055556,2
0.65818185,0.14285715,0.779661,0.8333333,2
0.4109091,0.15476191,0.779661,0.5277778,2
0.80727273,0.30952382,1.0,0.8194444,2
0.27272728,0.48809522,0.40677965,0.2361111,0
0.48727274,0.16666667,0.6779661,0.5694444,2
0.66545457,0.26190478,0.88135594,0.7916667,2
0.21090908,0.6547619,0.0,0.125,0
0.2,0.71428573,0.37288135,0.29166666,0
0.6690909,0.77380955,0.4915254,0.375,1
0.47636363,0.5595238,0.44067797,0.3472222,1
0.41454545,0.25,0.69491524,0.5416667,2
0.2,0.4642857,0.22033899,0.25,0
0.27636364,0.5714286,0.3559322,0.43055555,0
0.0,0.2857143,0.27118644,0.097222224,0
0.29454544,0.4642857,0.06779661,0.20833333,0
0.65090907,0.33333334,0.88135594,0.7361111,2
0.16727273,0.7380952,0.3559322,0.20833333,0
0.64,0.6547619,0.3898305,0.25,1
0.56,0.13095239,0.62711865,0.5277778,2
0.37818182,0.42857143,0.2542373,0.18055555,1
0.33818182,0.64285713,0.5084746,0.3263889,0
0.66545457,0.30952382,0.84745765,0.8472222,2
0.123636365,0.3690476,0.3898305,0.18055555,0
0.52363634,0.04761905,0.6440678,0.5138889,2
0.58181816,0.39285713,0.45762712,0.1736111,1
0.38545454,0.61904764,0.40677965,0.38194445,0
0.3090909,0.6785714,0.3559322,0.30555555,0
0.6981818,0.8095238,0.44067797,0.2777778,1
0.62545455,0.8095238,0.5254237,0.375,1
0.26909092,0.5119048,0.23728813,0.30555555,0
0.53818184,0.41666666,0.33898306,0.0,1
0.65090907,0.26190478,0.8135593,0.7916667,2
0.52,0.5595238,0.3220339,0.2777778,1
0.3272727,0.71428573,0.27118644,0.3888889,0
0.2581818,0.95238096,0.40677965,0.4027778,0
0.47636363,0.20238096,0.6779661,0.6944444,2
0.6181818,0.22619048,0.9491525,0.7777778,2
0.56363636,0.16666667,0.7288136,0.75,2
0.7309091,0.47619048,0.9491525,0.75,2
0.58181816,0.23809524,0.62711865,0.7777778,2
0.23636363,0.48809522,0.45762712,0.29166666,0
0.17818181,0.4047619,0.22033899,0.19444445,0
0.30545455,0.6904762,0.13559322,0.3472222,0
0.27272728,0.9047619,0.3220339,0.33333334,0
0.27272728,0.54761904,0.23728813,0.22222222,0
0.6363636,0.60714287,0.3559322,0.2986111,1
0.20363636,0.3452381,0.18644068,0.104166664,0
0.18909091,0.88095236,0.45762712,0.2986111,0
0.61454546,0.77380955,0.6779661,0.44444445,1
0.11636364,0.6904762,0.2542373,0.30555555,0
0.6290909,0.32142857,0.7457627,0.6180556,2
0.13090909,0.4642857,0.2881356,0.18055555,0
0.14909092,0.35714287,0.2542373,0.2361111,0
0.3927273,0.0,0.7288136,0.6388889,2
0.45090908,0.30952382,0.7627119,0.6041667,2
0.47636363,0.39285713,0.86440676,0.9027778,2
0.5090909,0.011904762,0.66101694,0.5,2
0.59272724,0.15476191,0.5254237,0.5347222,2
0.14181818,0.5714286,0.30508474,0.20833333,0
0.09090909,0.95238096,0.44067797,0.4722222,0
0.11272727,0.33333334,0.23728813,0.097222224,0
0.3272727,0.53571427,0.16949153,0.1388889,0
0.24727273,0.6785714,0.30508474,0.25,0
0.14181818,0.47619048,0.2542373,0.2777778,0
0.3709091,0.96428573,0.3220339,0.4027778,0
0.7054545,0.3809524,0.9830508,0.7777778,2
0.4690909,0.27380952,0.8135593,0.6527778,2
0.20363636,0.79761904,0.44067797,0.22222222,0
0.12727273,0.52380955,0.3220339,0.13194445,0
0.59636366,0.11904762,0.8135593,0.7222222,2
0.61454546,0.7619048,0.6440678,0.3472222,1
0.40727273,0.10714286,0.6101695,0.5208333,2
0.2509091,0.6666667,0.22033899,0.2638889,0
0.52,0.29761904,0.8305085,0.6388889,2
0.6181818,0.16666667,0.6779661,0.5347222,2
0.51272726,0.21428572,0.8305085,0.7222222,2
0.53818184,0.17857143,0.84745765,0.6041667,2
0.48727274,0.22619048,0.8135593,0.6388889,2
0.32,0.44047618,0.3220339,0.2777778,0
0.31636363,0.6904762,0.6101695,0.44444445,0
0.123636365,0.52380955,0.30508474,0.2777778,0
0.67636365,0.78571427,0.5254237,0.375,1
0.43636364,0.78571427,0.40677965,0.4722222,0
0.40363637,0.64285713,0.33898306,0.3888889,0
0.3927273,0.53571427,0.40677965,0.5555556,0
0.7236364,0.5952381,0.4915254,0.375,1
0.35272726,0.75,0.44067797,0.4861111,0
0.17090909,0.64285713,0.3559322,0.22222222,0
0.24,0.70238096,0.3898305,0.20833333,0
0.32,0.071428575,0.7118644,0.5416667,2
0.48363635,0.6666667,0.27118644,0.22916667,1
0.48363635,0.17857143,0.66101694,0.5833333,2
0.40727273,0.035714287,0.62711865,0.4722222,2
0.3272727,0.5952381,0.55932206,0.44444445,0
0.48,0.083333336,0.6101695,0.41666666,2
0.4,0.72619045,0.42372882,0.22222222,0
0.41454545,0.13095239,0.8135593,0.5555556,2
0.036363635,0.35714287,0.10169491,0.055555556,0
0.48727274,0.0952381,0.6440678,0.41666666,2
0.38181818,0.071428575,0.69491524,0.625,2
0.29818183,0.5833333,0.3898305,0.15277778,0
0.43272728,0.05952381,0.6101695,0.45833334,2
0.64363635,0.33333334,0.9661017,0.9027778,2
0.3890909,0.13095239,0.62711865,0.5555556,2
0.77454543,0.32142857,0.7966102,0.7777778,2
0.5345455,0.4047619,0.2881356,0.2638889,1
0.68363637,0.5714286,0.40677965,0.27083334,1
0.6981818,0.72619045,0.3559322,0.2638889,1
0.48727274,0.4642857,0.40677965,0.22222222,1
0.10545454,0.5714286,0.30508474,0.20833333,0
0.61454546,0.35714287,0.7457627,0.7916667,2
0.3272727,0.60714287,0.33898306,0.375,0
0.6690909,0.25,0.7457627,0.6388889,2
0.2581818,0.6547619,0.30508474,0.43055555,0
0.15272728,0.7619048,0.30508474,0.30555555,0
0.14181818,0.64285713,0.23728813,0.11111111,0
